app_id,feature,variant_likelihood,suggestion
app-Y1.2-16-16,deleted,0.5,
app-Y1.2-16-16,ātre→āϑre,0.5,
app-Y1.2-18-19,deleted,0.5,
app-Y1.2-18-19,subst,0.5,
app-Y1.2-19-19,deleted,0.5,
app-Y1.2-19-19,yaētuštimāi→yaētuštəmāi,0.5,
app-Y1.3-0-0,deleted,0.5,
app-Y1.3-1-2,deleted,0.5,
app-Y1.3-1-2,subst,0.5,
app-Y1.3-2-2,deleted,0.5,
app-Y1.3-11-11,deleted,0.5,
app-Y1.3-11-11,subst,0.5,
app-Y1.3-16-16,ńiuuaēδaiiami→ńiuuaēδaiiemi,0.5,
app-Y1.3-16-16,deleted,0.5,
app-Y1.3-16-16,subst,0.5,
app-Y1.3-19-19,deleted,0.5,
app-Y1.3-19-19,subst,0.5,
app-Y1.3-19-20,deleted,0.5,
app-Y1.3-19-20,subst,0.5,
app-Y1.3-20-20,deleted,0.5,
app-Y1.3-20-20,subst,0.5,
app-Y1.3-22-22,subst,0.5,
app-Y1.3-22-22,deleted,0.5,
app-Y1.3-22-22,subst,0.5,
app-Y1.4-3-3,subst,0.5,
app-Y1.4-3-3,deleted,0.5,
app-Y1.4-3-3,subst,0.5,
app-Y1.4-9-9,deleted,0.5,
app-Y1.4-9-9,subst,0.5,
app-Y1.4-10-10,deleted,0.5,
app-Y1.4-10-10,subst,0.5,
app-Y1.4-12-12,deleted,0.5,
app-Y1.4-18-18,deleted,0.5,
app-Y1.4-18-18,ātrasca→āϑrasca,0.5,
app-Y1.4-20-20,deleted,0.5,
app-Y1.5-2-2,subst,0.5,
app-Y1.5-2-2,deleted,0.5,
app-Y1.5-2-2,uzaiieirənāi→uzaiieirināi,0.5,
app-Y1.5-16-16,deleted,0.5,
app-Y1.5-16-16,subst,0.5,
app-Y1.5-18-18,deleted,0.5,
app-Y1.5-18-18,subst,0.5,
app-Y1.6-2-2,deleted,0.5,
app-Y1.6-2-2,subst,0.5,
app-Y1.6-2-3,subst,0.5,
app-Y1.6-2-3,deleted,0.5,
app-Y1.6-2-3,subst,0.5,
app-Y1.6-5-5,subst,0.5,
app-Y1.6-5-5,deleted,0.5,
app-Y1.6-9-10,subst,0.5,
app-Y1.6-9-10,deleted,0.5,
app-Y1.6-9-10,subst,0.5,
app-Y1.6-10-10,zaraϑuštrōtimāica→zaraϑuštrō.təmāica,0.5,
app-Y1.6-10-10,deleted,0.5,
app-Y1.6-16-16,subst,0.5,
app-Y1.6-16-16,deleted,0.5,
app-Y1.6-16-16,subst,0.5,
app-Y1.6-16-19,deleted,0.5,
app-Y1.6-16-19,subst,0.5,
app-Y1.6-17-17,deleted,0.5,
app-Y1.6-17-17,frauuašanąm→frauuaṣ̌inąm,0.5,
app-Y1.6-19-19,deleted,0.5,
app-Y1.6-19-19,subst,0.5,
app-Y1.6-20-20,deleted,0.5,
app-Y1.6-20-20,yāiriiaiiusca→yāiriiaiiā̊sca,0.5,
app-Y1.6-24-24,deleted,0.5,
app-Y1.6-24-24,subst,0.5,
app-Y1.6-27-27,subst,0.5,
app-Y1.6-27-27,deleted,0.5,
app-Y1.6-27-27,subst,0.5,
app-Y1.7-2-2,deleted,0.5,
app-Y1.7-2-2,subst,0.5,
app-Y1.7-3-3,deleted,0.5,
app-Y1.7-3-3,subst,0.5,
app-Y1.7-6-6,deleted,0.5,
app-Y1.7-6-6,subst,0.5,
app-Y1.7-8-8,deleted,0.5,
app-Y1.7-8-8,subst,0.5,
app-Y1.7-9-9,deleted,0.5,
app-Y1.7-11-11,deleted,0.5,
app-Y1.7-11-11,subst,0.5,
app-Y1.7-15-18,deleted,0.5,
app-Y1.7-15-18,subst,0.5,
app-Y1.7-16-16,deleted,0.5,
app-Y1.7-16-16,subst,0.5,
app-Y1.7-16-17,deleted,0.5,
app-Y1.7-16-17,subst,0.5,
app-Y1.7-20-20,deleted,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-22-22,deleted,0.5,
app-Y1.7-22-22,subst,0.5,
app-Y1.7-22-24,deleted,0.5,
app-Y1.7-22-24,subst,0.5,
app-Y1.7-24-24,subst,0.5,
app-Y1.7-24-24,deleted,0.5,
app-Y1.7-24-24,vərədat̰.gaēϑaiiā̊→varədat̰.gaēϑaiiā̊,0.5,
app-Y1.8-2-2,deleted,0.5,
app-Y1.8-2-2,subst,0.5,
app-Y1.8-3-3,deleted,0.5,
app-Y1.8-3-3,subst,0.5,
app-Y1.8-5-5,deleted,0.5,
app-Y1.8-5-5,subst,0.5,
app-Y1.8-11-11,deleted,0.5,
app-Y1.9-2-2,subst,0.5,
app-Y1.9-2-2,deleted,0.5,
app-Y1.9-2-2,subst,0.5,
app-Y1.9-3-3,deleted,0.5,
app-Y1.9-3-3,subst,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-5-5,deleted,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-7-7,deleted,0.5,
app-Y1.9-11-11,deleted,0.5,
app-Y1.9-11-11,subst,0.5,
app-Y1.9-12-12,deleted,0.5,
app-Y1.9-12-12,subst,0.5,
app-Y1.9-14-14,deleted,0.5,
app-Y1.9-14-14,subst,0.5,
app-Y1.9-17-17,deleted,0.5,
app-Y1.9-17-17,subst,0.5,
app-Y1.9-23-23,deleted,0.5,
app-Y1.9-23-23,subst,0.5,
app-Y1.9-23-24,deleted,0.5,
app-Y1.9-23-24,subst,0.5,
app-Y1.9-24-25,deleted,0.5,
app-Y1.9-24-25,subst,0.5,
app-Y1.9-25-25,deleted,0.5,
app-Y1.9-25-25,subst,0.5,
app-Y1.9-31-31,subst,0.5,
app-Y1.9-31-31,deleted,0.5,
app-Y1.9-31-31,subst,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-37-37,deleted,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-37-37,subst,0.5,
